Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),GNSS flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution,State Estimator Iterations,Trajectory Iterations,steering flag,GPS velocity (m/s),E2 limit,E1 limit,Gyroscope Y (rad/s),Speed reference (rad/s),PI Current (A),Ki,Kp
0.0000000000,0.0000000000,-0.7654834800,0.0009352296,-0.0024027576,-0.0510579563,0,2153576,0,0,0,-5391.033177,-1905.300871,-1.234767,-0.000179,0.000929,-0.050991,0.000000,0,-0,19,-1590.889237,-1.233752,0,0.167891,0.3956,5,5,0,0,0,0,0.00157,0,0,0,0
1.0068391277,0.2090858513,-0.7642866600,0.0006297970,-0.0004174456,-0.0510579563,0,2153586,1,0,0,-5362.453059,-1895.318535,-1.235782,-0.000164,0.000623,-0.050985,0.000000,0,0,0,0.000177,0,0,-0.00001,-0,6,6,0,0.074588,0,0,-0.004691,0,0,0,0
1.0068391277,0.2090858513,-0.7559089200,0.0003243644,-0.0013337435,-0.0510579563,0,2153596,1,0,0,-5333.890364,-1885.374804,-1.236797,-0.000152,0.000318,-0.050984,0.000000,0,-0,0,-0.00005,0,0,0.000003,-0,7,7,0,0.074588,0,0,-0.000262,0,0,0,0
1.0068391277,0.2090858513,-0.7319725200,-0.0002865008,-0.0046935023,-0.0510579563,0,2153606,1,0,0,-5305.345164,-1875.469642,-1.237813,-0.000145,-0.000293,-0.050985,0.000000,0,-0,0,-0.000146,0,0,0.000008,-0,8,8,0,0.074588,0,0,-0.003622,0,0,0,0
1.0068391277,0.2090858513,-0.7391534400,-0.0056315717,0.0000407033,-0.0510579563,0,2153617,1,0,0,-5276.817525,-1865.603016,-1.238828,-0.000192,-0.005637,-0.050972,0.000000,0,-0,0,-0.000166,0,0,0.000009,-0,9,9,0,0.074588,0,0,-0.000262,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7391534400,-0.0056315717,0.0000407033,-0.0510579563,0,2153626,1,0,0,-5248.307515,-1855.774878,-1.239843,-0.000238,-0.005638,-0.050970,0.000000,0,-0,0,-0.000164,0,0,0.000009,-0,10,10,0,0.074588,0,0,-0.000262,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7618930200,-0.0092967631,0.0000407033,-0.0510579563,0,2153636,1,0,0,-5219.8152,-1845.985185,-1.240858,-0.000323,-0.009305,-0.050981,0.000000,0,-0,0,-0.000226,0,0,0.000012,-0,11,11,0,0.074588,0,0,-0.004844,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7666803000,-0.0057842880,-0.0010283109,-0.0510579563,0,2153646,1,0,0,-5191.340649,-1836.233901,-1.241873,-0.000372,-0.005792,-0.050985,0.000000,0,0,0,0.00006,0,0,-0.000003,-0,12,12,0,0.074588,0,0,-0.00072,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7630898400,-0.0013555150,0.0000407033,-0.0510579563,0,2153656,1,0,0,-5162.883934,-1826.520989,-1.242888,-0.000376,-0.001362,-0.050979,0.000000,0,0,0,0.000179,0,0,-0.00001,-0,13,13,0,0.074588,0,0,-0.00408,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7295788800,-0.0002865008,-0.0016391761,-0.0510579563,0,2153666,1,0,0,-5134.445123,-1816.846406,-1.243903,-0.000368,-0.000292,-0.050970,0.000000,0,0,0,0.000036,0,0,-0.000002,-0,14,14,0,0.074588,0,0,-0.002095,0,0,0.5,1.4
1.0068391277,0.2090858513,-0.7427439000,-0.0070060185,-0.0016391761,-0.0510579563,0,2153676,1,0,0,-5106.024282,-1807.210117,-1.244918,-0.000428,-0.007013,-0.050976,0.000000,0,0,0,0.000041,0,0,-0.000002,-0,15,15,0,0.074588,0,0,0.001723,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7212011400,0.0015460949,-0.0025554739,-0.0510579563,0,2153686,2,0,0,-5077.621478,-1797.612081,-1.245934,-0.000401,0.00154,-0.050968,0.000000,0,0,0,0.000145,0,0,-0.000008,-0,16,16,0,0.118313,0,0,-0.004233,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7439407200,0.0021569601,0.0004988522,-0.0510579563,0,2153696,2,0,0,-5049.236778,-1788.052259,-1.246949,-0.000369,0.00215,-0.050969,0.000000,0,-0,0,-0.000167,0,0,0.000009,-0,17,17,0,0.118313,0,0,-0.001789,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7427439000,-0.0027299618,-0.0031663392,-0.0510579563,0,2153706,2,0,0,-5020.870253,-1778.530606,-1.247964,-0.000386,-0.002738,-0.050982,0.000000,0,-0,0,-0.000099,0,0,0.000005,-0,18,18,0,0.118313,0,0,-0.002706,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7594993800,-0.0067005858,-0.0022500413,-0.0510579563,0,2153717,2,0,0,-5020.870253,-1778.530606,-1.247964,-0.000386,-0.002738,-0.050982,0.000000,0,-0,0,-0.000125,0,0,0.000007,-0,18,19,0,0.118313,0,0,-0.000415,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7594993800,-0.0067005858,-0.0022500413,-0.0510579563,0,2153726,2,0,0,-4964.191995,-1759.601668,-1.249994,-0.000501,-0.006707,-0.050985,0.000000,0,0,0,0.000125,0,0,-0.000007,-0,20,20,0,0.118313,0,0,-0.000415,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7439407200,-0.0056315717,-0.0016391761,-0.0510579563,0,2153736,2,0,0,-4935.880401,-1750.194301,-1.25101,-0.000547,-0.005637,-0.050975,0.000000,0,0,0,0.000174,0,0,-0.00001,-0,21,21,0,0.118313,0,0,-0.001026,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7379566200,-0.0004392172,-0.0022500413,-0.0510579563,0,2153746,2,0,0,-4907.587253,-1740.824945,-1.252025,-0.00054,-0.000446,-0.050973,0.000000,0,-0,0,-0.000108,0,0,0.000006,-0,22,22,0,0.118313,0,0,-0.003469,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7283820600,-0.0012027987,0.0001934196,-0.0510579563,0,2153756,2,0,0,-4879.312619,-1731.493563,-1.25304,-0.00054,-0.001208,-0.050961,0.000000,0,0,0,0.000194,0,0,-0.000011,-0,23,23,0,0.118313,0,0,-0.000873,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7391534400,-0.0103657773,0.0006515686,-0.0510579563,0,2153766,2,0,0,-4851.056562,-1722.200106,-1.254055,-0.000633,-0.010373,-0.050964,0.000000,0,-0,19,-1730.272404,-1.25304,0,0.167891,0.401785,24,24,0,0.118313,0,0,0.000349,0,0,0.5,1.4
